month,views,article
2018-02-01,9,Honghesaurus - desktop min
2018-03-01,6,Honghesaurus - desktop min
2018-04-01,7,Honghesaurus - desktop min
2018-05-01,12,Honghesaurus - desktop min
2018-06-01,8,Honghesaurus - desktop min
2018-07-01,8,Honghesaurus - desktop min
2018-08-01,38,Honghesaurus - desktop min
2018-09-01,17,Honghesaurus - desktop min
2018-10-01,7,Honghesaurus - desktop min
2018-11-01,9,Honghesaurus - desktop min
2018-12-01,12,Honghesaurus - desktop min
2019-01-01,5,Honghesaurus - desktop min
2019-02-01,7,Honghesaurus - desktop min
2019-03-01,8,Honghesaurus - desktop min
2019-04-01,20,Honghesaurus - desktop min
2019-05-01,8,Honghesaurus - desktop min
2019-06-01,28,Honghesaurus - desktop min
2019-07-01,11,Honghesaurus - desktop min
2019-08-01,14,Honghesaurus - desktop min
2019-09-01,26,Honghesaurus - desktop min
2019-10-01,28,Honghesaurus - desktop min
2019-11-01,14,Honghesaurus - desktop min
2019-12-01,3,Honghesaurus - desktop min
2020-01-01,18,Honghesaurus - desktop min
2020-02-01,25,Honghesaurus - desktop min
2020-03-01,4,Honghesaurus - desktop min
2020-04-01,13,Honghesaurus - desktop min
2020-05-01,5,Honghesaurus - desktop min
2020-06-01,3,Honghesaurus - desktop min
2020-07-01,1,Honghesaurus - desktop min
2020-08-01,2,Honghesaurus - desktop min
2020-09-01,2,Honghesaurus - desktop min
2020-10-01,1,Honghesaurus - desktop min
2020-11-01,5,Honghesaurus - desktop min
2020-12-01,4,Honghesaurus - desktop min
2021-01-01,5,Honghesaurus - desktop min
2021-02-01,5,Honghesaurus - desktop min
2021-03-01,8,Honghesaurus - desktop min
2021-04-01,7,Honghesaurus - desktop min
2021-05-01,5,Honghesaurus - desktop min
2021-06-01,3,Honghesaurus - desktop min
2021-07-01,4,Honghesaurus - desktop min
2021-08-01,5,Honghesaurus - desktop min
2021-09-01,3,Honghesaurus - desktop min
2021-10-01,2,Honghesaurus - desktop min
2021-11-01,3,Honghesaurus - desktop min
2021-12-01,2,Honghesaurus - desktop min
2022-01-01,2,Honghesaurus - desktop min
2022-02-01,2,Honghesaurus - desktop min
2022-03-01,4,Honghesaurus - desktop min
2022-04-01,1,Honghesaurus - desktop min
2022-05-01,349,Honghesaurus - desktop min
2022-06-01,82,Honghesaurus - desktop min
2022-07-01,44,Honghesaurus - desktop min
2022-08-01,83,Honghesaurus - desktop min
2022-09-01,66,Honghesaurus - desktop min
2015-07-01,107257,Tyrannosaurus - desktop max
2015-08-01,64452,Tyrannosaurus - desktop max
2015-09-01,60550,Tyrannosaurus - desktop max
2015-10-01,66527,Tyrannosaurus - desktop max
2015-11-01,60426,Tyrannosaurus - desktop max
2015-12-01,57493,Tyrannosaurus - desktop max
2016-01-01,57657,Tyrannosaurus - desktop max
2016-02-01,51596,Tyrannosaurus - desktop max
2016-03-01,62867,Tyrannosaurus - desktop max
2016-04-01,56819,Tyrannosaurus - desktop max
2016-05-01,58193,Tyrannosaurus - desktop max
2016-06-01,47398,Tyrannosaurus - desktop max
2016-07-01,44065,Tyrannosaurus - desktop max
2016-08-01,41429,Tyrannosaurus - desktop max
2016-09-01,42136,Tyrannosaurus - desktop max
2016-10-01,44054,Tyrannosaurus - desktop max
2016-11-01,46011,Tyrannosaurus - desktop max
2016-12-01,47896,Tyrannosaurus - desktop max
2017-01-01,49101,Tyrannosaurus - desktop max
2017-02-01,46084,Tyrannosaurus - desktop max
2017-03-01,57124,Tyrannosaurus - desktop max
2017-04-01,47669,Tyrannosaurus - desktop max
2017-05-01,55816,Tyrannosaurus - desktop max
2017-06-01,42288,Tyrannosaurus - desktop max
2017-07-01,39464,Tyrannosaurus - desktop max
2017-08-01,38050,Tyrannosaurus - desktop max
2017-09-01,35726,Tyrannosaurus - desktop max
2017-10-01,39443,Tyrannosaurus - desktop max
2017-11-01,43246,Tyrannosaurus - desktop max
2017-12-01,44933,Tyrannosaurus - desktop max
2018-01-01,49845,Tyrannosaurus - desktop max
2018-02-01,42887,Tyrannosaurus - desktop max
2018-03-01,45815,Tyrannosaurus - desktop max
2018-04-01,49236,Tyrannosaurus - desktop max
2018-05-01,51975,Tyrannosaurus - desktop max
2018-06-01,87514,Tyrannosaurus - desktop max
2018-07-01,61017,Tyrannosaurus - desktop max
2018-08-01,44498,Tyrannosaurus - desktop max
2018-09-01,42645,Tyrannosaurus - desktop max
2018-10-01,45606,Tyrannosaurus - desktop max
2018-11-01,43438,Tyrannosaurus - desktop max
2018-12-01,40967,Tyrannosaurus - desktop max
2019-01-01,45728,Tyrannosaurus - desktop max
2019-02-01,39382,Tyrannosaurus - desktop max
2019-03-01,46454,Tyrannosaurus - desktop max
2019-04-01,37700,Tyrannosaurus - desktop max
2019-05-01,36020,Tyrannosaurus - desktop max
2019-06-01,31644,Tyrannosaurus - desktop max
2019-07-01,28866,Tyrannosaurus - desktop max
2019-08-01,27784,Tyrannosaurus - desktop max
2019-09-01,35462,Tyrannosaurus - desktop max
2019-10-01,34299,Tyrannosaurus - desktop max
2019-11-01,34607,Tyrannosaurus - desktop max
2019-12-01,31454,Tyrannosaurus - desktop max
2020-01-01,38864,Tyrannosaurus - desktop max
2020-02-01,41421,Tyrannosaurus - desktop max
2020-03-01,40928,Tyrannosaurus - desktop max
2020-04-01,48309,Tyrannosaurus - desktop max
2020-05-01,47414,Tyrannosaurus - desktop max
2020-06-01,42439,Tyrannosaurus - desktop max
2020-07-01,37328,Tyrannosaurus - desktop max
2020-08-01,44469,Tyrannosaurus - desktop max
2020-09-01,40890,Tyrannosaurus - desktop max
2020-10-01,46080,Tyrannosaurus - desktop max
2020-11-01,43121,Tyrannosaurus - desktop max
2020-12-01,41061,Tyrannosaurus - desktop max
2021-01-01,45419,Tyrannosaurus - desktop max
2021-02-01,43774,Tyrannosaurus - desktop max
2021-03-01,52277,Tyrannosaurus - desktop max
2021-04-01,60422,Tyrannosaurus - desktop max
2021-05-01,48398,Tyrannosaurus - desktop max
2021-06-01,42564,Tyrannosaurus - desktop max
2021-07-01,37589,Tyrannosaurus - desktop max
2021-08-01,39579,Tyrannosaurus - desktop max
2021-09-01,41532,Tyrannosaurus - desktop max
2021-10-01,40129,Tyrannosaurus - desktop max
2021-11-01,41040,Tyrannosaurus - desktop max
2021-12-01,37650,Tyrannosaurus - desktop max
2022-01-01,42104,Tyrannosaurus - desktop max
2022-02-01,41061,Tyrannosaurus - desktop max
2022-03-01,51628,Tyrannosaurus - desktop max
2022-04-01,42976,Tyrannosaurus - desktop max
2022-05-01,48438,Tyrannosaurus - desktop max
2022-06-01,58017,Tyrannosaurus - desktop max
2022-07-01,46505,Tyrannosaurus - desktop max
2022-08-01,38432,Tyrannosaurus - desktop max
2022-09-01,34851,Tyrannosaurus - desktop max
